review_description,rating,developer_response,review_description_after_removing_stop_words
fun game i like the design,5,,fun game like design
nice game please download it because you will enjoy it,5,,nice game please download enjoy
best game for the mind blowin  face blowing a kiss ,4,,best game mind blowin  face blowing kiss 
i have complete  level now i am just feedup about game harder level without purchase no one can enjoy this game game graphic and concept is good but you may focused on player experienced if you only want to sell coin you may wrong you may increase video ad for get coin for player by the way i am really disappointed about this game,1,Hello! Sorry that you didn't enjoy the difficulty of our game. We've tried to make it as accessible as we could! We will take your feedback into account and will try to make the game better in future!,complete  level feedup game harder level without purchase one enjoy game game graphic concept good may focused player experienced want sell coin may wrong may increase video ad get coin player way really disappointed game
i think the game is great i played just a few day and it great,5,,think game great played day great
love the game alot,4,,love game alot
it nice but hoping it offline,3,Hello! Do you have some troubles with the game? Let us know about it! We will be happy to help!,nice hoping offline
i love this game but the ad are too much,5,,love game ad much
the best way to get the following,1,"Hello! Thank you for your review! If you like our game, could you please give us more than one star?
",best way get following
fun n exciting,5,,fun n exciting
the game is good and very easy charrr,5,,game good easy charrr
i dont know what going with this game but every time i redownload it and i try check in to facebook and it say select my level it show level  which im not on that level im on  i would like have that level back please cause im not restart back over again after everything i did,1,Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!,dont know going game every time redownload try check facebook say select level show level  im level im  would like level back please cause im restart back everything
the game is terrible and not anything like it wa described on play store there are a lot of ad and the last update ha made the app hard to navigate and not very fun,2,"Hello! Sorry that our game didn't match your expectations. Maybe if you give it one more chance, the game will interest you with plot twists. And this will make you change your opinion about the game!",game terrible anything like wa described play store lot ad last update ha made app hard navigate fun
it fun and we are going to be addicted,5,,fun going addicted
i have beaten level  numerous of time and it still not advancing me in november in paris and i will delete the game and i will see what i can do about getting my money back for the money i have spent this is ridiculous do not play this game i suggest not downloading this game playflock is a joke,1,Hello! Sorry to hear that you faced with such problem! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!,beaten level  numerous time still advancing november paris delete game see getting money back money spent ridiculous play game suggest downloading game playflock joke
i love this game the best game in the game world but while playing dis game it off like it stop playing plz help me for ur two star,3,"Hello! We're glad that you like our game! But you gave us only three stars, not five. Could you please correct the rating to five stars? Thanks in advance!",love game best game game world playing dis game like stop playing plz help ur two star
i injoy this game thank u so much family hotel,5,,injoy game thank u much family hotel
great job on the best game of the world  globe showing europeafrica ,5,,great job best game world  globe showing europeafrica 
after update the family hotel app my game is not start properly loading is stop at  and not grown more up  angry face ,3,"Hello! If you have some troubles with the game, you can always contact with our support team about this by clicking Settings -> Help or via support@playflock.com! We will be happy to help you!",update family hotel app game start properly loading stop  grown  angry face 
why gold card not working,5,,gold card working
the game is fun to play but the problem is it harder level  downcast face with sweat  it very hard to play  slightly smiling face  if you fix this problem itll be very interesting to play  smiling face with smiling eye  love this game,4,,game fun play problem harder level  downcast face sweat  hard play  slightly smiling face  fix problem itll interesting play  smiling face smiling eye  love game
fun game love the decorating,5,,fun game love decorating
early stage yet will update ler  alien ,5,,early stage yet update ler  alien 
i am enjoy this game i am pas out levele ,5,,enjoy game pas levele 
love the game in the graphic enjoy playing it great game,5,,love game graphic enjoy playing great game
it amazing game  bullseye  bullseye  bullseye  bullseye ,5,,amazing game  bullseye  bullseye  bullseye  bullseye 
love the game no issue a of yet,5,,love game issue yet
this is a fun game to play and very relaxing,5,,fun game play relaxing
i got very addicted to this game decent graphic cool animation got ta give that but it would be more enjoyable if you pas a certain level for example like after every  level it got ta be with extra reward money maybe two key and it would very time consuming if it had chest system you win a level you get a chesto to open it take mins for example i would come back and give this  star if this game update it and put chest system  hundred point  hundred point  hundred point  keep it up dont fail u ,4,Hello.Thank you for your feedback. It is really important for us and we will take notes to upgrade our project. Our game is still in development so we are searching for best gamer experience. Stay tuned for more updates!,got addicted game decent graphic cool animation got ta give would enjoyable pas certain level example like every  level got ta extra reward money maybe two key would time consuming chest system win level get chesto open take mins example would come back give  star game update put chest system  hundred point  hundred point  hundred point  keep dont fail u 
brilliant game happy christmas to all who work on family hotel,5,,brilliant game happy christmas work family hotel
happy birthday to you too baby,3,"Hello.Thank you for your review. We are still working to make this game better and enjoyable for you. Stay with us!
",happy birthday baby
it almost a same a the other game that most u play garden scape and i found some bug of the game which is some of the level when we complete but the tap to skip function can not activate i dont know why maybe is connection problem or this game got some coding uncomplete i i dont know what level but maybe because tap too fast cause the bug problem yeah some of the level random level not the event one but the climbing level that we casual play,4,Hello. Thank you for your review and feedback. Could you please tell us on which level you face this problem?,almost game u play garden scape found bug game level complete tap skip function activate dont know maybe connection problem game got coding uncomplete dont know level maybe tap fast cause bug problem yeah level random level event one climbing level casual play
intresting game whenever i feel bored  sleeping face  i love to play this game  video game  this game make me feel happy  smiling face with smiling eye ,5,,intresting game whenever feel bored  sleeping face  love play game  video game  game make feel happy  smiling face smiling eye 
thing move very slowly,4,,thing move slowly
this is my stress reliever after a whole day of stress,5,,stress reliever whole day stress
it must download faster,5,,must download faster
the game is very interesting and the mini game is challenging which make you want to continue,5,,game interesting mini game challenging make want continue
love it  smiling face with smiling eye ,5,,love  smiling face smiling eye 
it amazing  two heart  smiling face with hearteyes  game,3,"Hello! Thank you for your review! If you like our game, could you please give us more stars?
",amazing  two heart  smiling face hearteyes  game
nice game l like it,5,"Hello! We're glad that you like our game! But you gave us only two stars, not five. Could you please correct the rating to five stars? Thanks in advance!",nice game l like
anti stress game  beating heart  smiling face with heart ,5,,anti stress game  beating heart  smiling face heart 
it really nice i must say the story line is gr,5,,really nice must say story line gr
sometimes the adventure are come to the dramma,5,,sometimes adventure come dramma
i installed it but it not working  cry face ,2,Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!,installed working  cry face 
ìts an interesting game but the add keep freezing the game after each game it play a video add and it freeze the game and kick me out can uyou fix that issue please and thanks,4,,ìts interesting game add keep freezing game game play video add freeze game kick uyou fix issue please thanks
is not downloading on my phone samsung galaxy a,1,Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!,downloading phone samsung galaxy a
wow i love it  smiling face with hearteyes  smiling face with hearteyes  kissing face with closed eye  red heart ,5,,wow love  smiling face hearteyes  smiling face hearteyes  kissing face closed eye  red heart 
gud it a good game,1,"Hello! We're glad that you like our game! But you gave us only one star, not five. Could you please correct the rating to five stars? Thanks in advance!",gud good game
oh this game is wonderful and i am lucky to this game,3,"Hello! We're glad that you like our game! But you gave us only three stars, not five. Could you please correct the rating to five stars? Thanks in advance!",oh game wonderful lucky game
amazing love the storyline  clapping hand  clapping hand ,5,,amazing love storyline  clapping hand  clapping hand 
i like this game but my friend baby always take the phone,1,"Hello! We're glad that you like our game! But you gave us only one star, not five. Could you please correct the rating to five stars? Thanks in advance!",like game friend baby always take phone
i really love this game,5,,really love game
the story is engaging and it very addictive,5,,story engaging addictive
i love this game so much,5,,love game much
it okay so far but it doesnt look like the game advertised,4,,okay far doesnt look like game advertised
hey knowing this is played mostly by female i love it finally a game that i can get a taste of what it feel like to hold all the card i like the concept that the game definitely isnt just for the girl most men would pas right by this great fun easy to play a thrilling a if you were made to say yes to everything for a day im a straight and a retired military for  yr that just love to play this top  game in the app store,5,,hey knowing played mostly female love finally game get taste feel like hold card like concept game definitely isnt girl men would pas right great fun easy play thrilling made say yes everything day im straight retired military  yr love play top  game app store
the best entertainment ever,4,,best entertainment ever
wicked gamevery challenging xx,5,,wicked gamevery challenging xx
i love this game more pls,4,,love game pls
very enjoyable and my  year old like it,5,,enjoyable  year old like
very good nice great weekend  sparkling heart  sparkling heart  sparkling heart ,5,,good nice great weekend  sparkling heart  sparkling heart  sparkling heart 
i really love this gamehmm sometimes most hard level but it okay,5,,really love gamehmm sometimes hard level okay
fun game good graphic,5,,fun game good graphic
is it ok to see you then dat our website,5,,ok see dat website
this game is so sluggish it is very slow to upload and when it doe it stop playing,1,"Hello! According to information about your phone, it has low technical characteristics for good game performance, and because of this, the game sometimes work incorrectly. You can try to clean the tray and close every app that are active at the moment on your device. But we are still work on optimizing game for the best convenience of our users!",game sluggish slow upload doe stop playing
i love it because i can still play with it even if i dont have data nice game you get to decorate your hotel while playing puzzle,5,Hello.Thank you for your review. We are still working to make this game better and enjoyable for you. Stay with us!,love still play even dont data nice game get decorate hotel playing puzzle
family hotel love,5,,family hotel love
this game is so enjoyable i dont need to spend too much money in order to progress in the game good job,5,,game enjoyable dont need spend much money order progress game good job
it fun although it a bit difficult,5,,fun although bit difficult
this game is best and awesome let play i support you,5,,game best awesome let play support
i am giving only one star because it is very difficult to install,1,"Hello! According to information about your phone, it has low technical characteristics for good game performance, and because of this, the game sometimes work incorrectly. You can try to clean the tray and close every app that are active at the moment on your device. But we are still work on optimizing game for the best convenience of our users!",giving one star difficult install
very nice  thumb up  slightly smiling face ,5,,nice  thumb  slightly smiling face 
it great to downloud this game and this game is for adult,5,,great downloud game game adult
have installed this game twice and it doesnt open  sleepy face ,1,"Hello! According to information about your phone, it has low technical characteristics for good game performance, and because of this, the game sometimes work incorrectly. You can try to clean the tray and close every app that are active at the moment on your device. But we are still work on optimizing game for the best convenience of our users!",installed game twice doesnt open  sleepy face 
advertisement after every game irritating,2,"Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!
",advertisement every game irritating
very nice  thumb up  thumbs up  thumbs up ,3,"Hello.Thank you for your review. We are still working to make this game better and enjoyable for you. Stay with us!
",nice  thumb  thumbs  thumbs 
i love this game it is so good you should download it  slightly smiling face ,5,,love game good download  slightly smiling face 
nice game with hard level,3,"Hello.Thank you for your review. We are still working to make this game better and enjoyable for you. Stay with us!
",nice game hard level
i love the game it interesting,5,,love game interesting
i enjoyed the game so much until level  it wa way too difficult i see the tile but some tile have nothing on them then i cant do any move,1,"Hello! Sorry that you didn't enjoy the difficulty of our game. We've tried to make it as accessible as we could! We will take your feedback into account and will try to make the game better in future!
",enjoyed game much level  wa way difficult see tile tile nothing cant move
not for kid i cant downlode it because i learning in the school and lm  year old  grinning face with sweat  pensive face  seenoevil monkey ,1,"Hello. We are sorry that you did not like something in the game, we will continue to work on it and hope that you will change your opinion about it!",kid cant downlode learning school lm  year old  grinning face sweat  pensive face  seenoevil monkey 
family hotel love k rate this app,5,,family hotel love k rate app
this game is extremely addictive however it suck having to wait on update due to getting pas the level it say a new update is available however it not i tried uninstaller and reinstalling and still nothing,2,"Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!
",game extremely addictive however suck wait update due getting pas level say new update available however tried uninstaller reinstalling still nothing
a lot of ad throughout some are optional it doe take away from the enjoyment of the game which seems on par with other game of the same type,3,Hello.Thank you for your feedback. It is really important for us and we will take notes to upgrade our project. Our game is still in development so we are searching for best gamer experience. Stay tuned for more updates.,lot ad throughout optional doe take away enjoyment game seems par game type
it okay like the story so far,4,,okay like story far
please fix where yall took my money i paid for the snow tale and yall are now asking for me to pay for it again and thats not right i have emailed you about this no reply i wa pretty far on it so please fix it and you can see where the stuff i earned by playing is there from where i purchased it the event ha not ended im not paying for something i already bought,1,"Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!
",please fix yall took money paid snow tale yall asking pay thats right emailed reply wa pretty far please fix see stuff earned playing purchased event ha ended im paying something already bought
so far i am loving this game,5,,far loving game
when i am downloading it doesnt come so please kindly fix it for me right know,1,"Hello! If you have any troubles with the game, you can always contact with our support team about this by clicking Settings -> Help or via support@playflock.com! We will be happy to help you!
",downloading doesnt come please kindly fix right know
very interesting and somehow boring,5,,interesting somehow boring
i just installed and it no passing  percentage,1,"Hello! According to information about your phone, it has low technical characteristics for good game performance, and because of this, the game sometimes work incorrectly. You can try to clean the tray and close every app that are active at the moment on your device. But we are still work on optimizing game for the best convenience of our users!",installed passing  percentage
im really like this app because this is amazing when i play this family hotel matchim so grateful this app so much,5,,im really like app amazing play family hotel matchim grateful app much
it is a nice game to play that is why i gave it  star  red heart ,5,,nice game play gave  star  red heart 
i dont like how the game continues to wiggle the piece they think i shud move i understand the idea and dont want the suggested move,3,"Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!
",dont like game continues wiggle piece think shud move understand idea dont want suggested move
the picture in the description of the game dont match the actual game play it just the same typical puzzle game to make any move and boring,1,"Hello. We are sorry that you did not like something in the game, we will continue to work on it and hope that you will change your opinion about it!
",picture description game dont match actual game play typical puzzle game make move boring
wow this game is very nice and very beautiful game,5,,wow game nice beautiful game
i like a game where it not tooooo hard and take a long time to solve the puzzle,5,,like game tooooo hard take long time solve puzzle
this hotel may help othors to know,5,,hotel may help othors know
i uninstalled to see if it would let me play and it took me back to level  not happyi wa on level sad uninstallingnot going through the whole thing again i wa really enjoying the game get me back where i wa and i will reinstallwhich im sure you wont,1,Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!,uninstalled see would let play took back level  happyi wa level sad uninstallingnot going whole thing wa really enjoying game get back wa reinstallwhich im sure wont
i really like this game and the story along with it the character a well but every time that i pas all the available level it take a long time till the next update,5,,really like game story along character well every time pas available level take long time till next update
i love the graphic and gameplay so far im enjoying it,5,,love graphic gameplay far im enjoying
game wa ok but sometimes the difficulty get a bit out of head,4,,game wa ok sometimes difficulty get bit head
good day o cute game,1,"Hello! We're glad that you like our game! But you gave us only one star, not five. Could you please correct the rating to five stars? Thanks in advance!",good day cute game
great experience enjoy,5,,great experience enjoy
i love  red heart  love this game a hole lot,5,,love  red heart  love game hole lot
great game just like the other match  renovation game but so much better with a hotel,5,,great game like match  renovation game much better hotel
i have tried more than  time to reinstall this game there is always something wrong with it either itll download completely then when it go to install it will tell me there wa a problem with installing it please try again later but now it downloading and installing completely but it will not allow me to sign in to it i am way to far into the game to restart it i love playing this game i have sent my feed back to yall so many time please fix these problem so i can play,3,"Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!
",tried  time reinstall game always something wrong either itll download completely go install tell wa problem installing please try later downloading installing completely allow sign way far game restart love playing game sent feed back yall many time please fix problem play
i just started playing this game and it is very unstable i struggle with new game this is not the one,1,"Hello! Thank you for your review! If you like our game, could you please give us more than one star?",started playing game unstable struggle new game one
it so hard on get you the key  old key  face with steam from nose ,3,Hello! Do you have some troubles with the game? Let us know about it! We will be happy to help!,hard get key  old key  face steam nose 
good story line so far,5,,good story line far
very time consuming it take alot of level to complete before you can complete a room otherwise i enjoy playing this game,4,,time consuming take alot level complete complete room otherwise enjoy playing game
i think this game will be very interesting but when downloading it will just waste your bundle,5,,think game interesting downloading waste bundle
it  confounded face  confounded face  it just wowwwww  starstruck  starstruck  starstruck  i love  smiling face with heart  this game it good and with many level,5,, confounded face  confounded face  wowwwww  starstruck  starstruck  starstruck  love  smiling face heart  game good many level
it so beautiful game i just love it  smiling face with hearteyes ,5,,beautiful game love  smiling face hearteyes 
nice and pritty interesting game to play,4,,nice pritty interesting game play
i love you  smiling face with heart  smiling face with heart ,1,"Hello! We love you too, but you gave us only one star in your review, not five. Could you please correct the rating to five stars? Thanks in advance!",love  smiling face heart  smiling face heart 
im enjoying the game  thumb up  thumbs up  thumbs up ,5,,im enjoying game  thumb  thumbs  thumbs 
so many ad uninstalled due to the quantity of ad before you even get into the game so many to close down before you even get to the game,1,Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!,many ad uninstalled due quantity ad even get game many close even get game
best game ever,5,,best game ever
the game is totally different from your description and picture i installed the game seeing the picture i thought it would be very interesting the game is good but it is totally different from my expectation it is like a candy crush game,3,"Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!
",game totally different description picture installed game seeing picture thought would interesting game good totally different expectation like candy crush game
it fun and i enjoy this game  fire ,5,,fun enjoy game  fire 
iam in high level why it not work now,1,Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!,iam high level work
very nice game nice plot twistes amazing but it should be more involved with the character,5,,nice game nice plot twistes amazing involved character
this game is wonderful superb  smiling face  smiling face with smiling eye ,1,"Hello! Thank you for your review! If you like our game, could you please give us more than one star?
",game wonderful superb  smiling face  smiling face smiling eye 
we shall all play this game every day because it fun,5,,shall play game every day fun
i enjoy the contsent changing,5,,enjoy contsent changing
game is ok rating  star so i can get a hotel sign,5,,game ok rating  star get hotel sign
the game is fair easy to play but not too easy satisfying and surprisingly a an aquarius who easily get bored of thing this ha been on my phone for a few day compared to the other game that have lasted only a few hour,5,,game fair easy play easy satisfying surprisingly aquarius easily get bored thing ha phone day compared game lasted hour
very interesting but the level are hard,4,,interesting level hard
i like so far it really good,5,,like far really good
it just funthis game is all about relaxing coz me if i have any level that i think is difficult i just take my time i can spend the whole week with out playing but wen i feel like playing itthen i pas the level i thought wa had for me it just a matter of  watch  watch  fourthirty  ninethirty  fivethirty  time,5,,funthis game relaxing coz level think difficult take time spend whole week playing wen feel like playing itthen pas level thought wa matter  watch  watch  fourthirty  ninethirty  fivethirty  time
just few hour started to play interesting graphic and story but the option for decoration after watching the ad wont show,3,"Hello! If you have some troubles with the game, you can always contact with our support team about this by clicking Settings -> Help or via support@playflock.com! We will be happy to help you!",hour started play interesting graphic story option decoration watching ad wont show
love this game but have been waiting it seems like forever for the next update with new level,5,,love game waiting seems like forever next update new level
this game is very romanticso i love this game,5,,game romanticso love game
i struggle with the hard level,5,,struggle hard level
good pas time,5,,good pas time
i really love this app cuz everytime download a puzzle then i couldnt pas it i would just uninstall then find another one this game is soooooo fun i play it every day,5,,really love app cuz everytime download puzzle couldnt pas would uninstall find another one game soooooo fun play every day
i cant play this game because it like logging when i open this app is always log,1,"Hello! According to information about your phone, it has low technical characteristics for good game performance, and because of this, the game sometimes work incorrectly. You can try to clean the tray and close every app that are active at the moment on your device. But we are still work on optimizing game for the best convenience of our users!",cant play game like logging open app always log
i love the kissing  kissing face with closed eye ,5,,love kissing  kissing face closed eye 
love everything  face blowing a kiss ,5,,love everything  face blowing kiss 
pretty good so far but i wish you could choose whether you play a male or a female,4,Thank you for your feedback! We are glad that you liked the game and will make it even more exciting in the next updates. Stay tuned!,pretty good far wish could choose whether play male female
family hotel love and and ma,5,,family hotel love
i have been playing this game for a while now but all it keep saying it isnt responding and go off so irritating i am always clearing stuff out of my device so it carat be that,2,"Hello! According to information about your phone, it has low technical characteristics for good game performance, and because of this, the game sometimes work incorrectly. You can try to clean the tray and close every app that are active at the moment on your device. But we are still work on optimizing game for the best convenience of our users!",playing game keep saying isnt responding go irritating always clearing stuff device carat
really interesting game,5,,really interesting game
some of the puzzle are impossible to solve unless you buy item to complete them too few move are given and so many goal required to win make u get stuck on same level unable to progress anymore maybe we should just uninstall if we cant pay money to continue the game,2,Hello.Thank you for your review and feedback. We will research for this problem and fix it as fast as we can. Our game is still in development so we are searching for best gamer experience. Stay tuned for more updates!,puzzle impossible solve unless buy item complete move given many goal required win make u get stuck level unable progress anymore maybe uninstall cant pay money continue game
enjoyable and relaxing plus addictive  face with tear of joy  smiling face with heart ,5,,enjoyable relaxing plus addictive  face tear joy  smiling face heart 
it fun and terrific but the ad are too much,3,Hello.Thank you for your feedback. It is really important for us and we will take notes to upgrade our project. Our game is still in development so we are searching for best gamer experience. Stay tuned for more updates.,fun terrific ad much
very easy going to begin with but get harder take patience and hard mind but brilliant to play,5,,easy going begin get harder take patience hard mind brilliant play
great game  thumb up  thumbs up  thumbs up ,4,,great game  thumb  thumbs  thumbs 
this game very easy and useful,5,,game easy useful
this is going to be the best game ever i love it like seriously,5,,going best game ever love like seriously
 have a look at the moment and i will have to be in touch with the following model and price are subject to the moon and i will have to be in touch with the following model and price are subject,5,, look moment touch following model price subject moon touch following model price subject
it very fun game i love it,5,,fun game love
best game i offer you to install this game,5,,best game offer install game
i like this game and it very easy,5,,like game easy
such an amazing and addictive game  red heart  red heart  this is the first game i have ever given five star my whole life it so good,5,,amazing addictive game  red heart  red heart  first game ever given five star whole life good
great game with a good story,5,,great game good story
i like this game it interesting and challenging a well,5,,like game interesting challenging well
hard levls but very fun,4,,hard levls fun
love the game can keep me busy for hour  starstruck ,5,,love game keep busy hour  starstruck 
why are the storyline taking so long to upload i have been waiting for weeksplease upload the story faster why so long,4,Hello! Very sorry for the delay! We will try to add new levels and chapters as soon as we can! Thank you for reaching with us about this!,storyline taking long upload waiting weeksplease upload story faster long
i like it even ok no friend,5,,like even ok friend
ow my god why is this app frequently ask me update it very boring pls fix it and ill give u  star,3,"Hello! If you have some troubles with the game, you can always contact with our support team about this by clicking Settings -> Help or via support@playflock.com! We will be happy to help you!",ow god app frequently ask update boring pls fix ill give u  star
it a fun match three game with an interesting story mode,5,,fun match three game interesting story mode
very awesome game even my mom love it,5,,awesome game even mom love
gud game but very time consuming and take forever to get star,5,,gud game time consuming take forever get star
you should be ashamed of yourselves the first picture in the screenshot example is not kid friendly plus the second and rd picture dont even happen in the game quit scamming people into playing your game and try advertising to people with how the game actually is i guarantee youll get more player,1,"Hello! Sorry that our game didn't match your expectations. We already working on the new picture! Thank you for your interest! Meanwhile, if you like other aspects of the game, maybe you can change your rating to five stars please? Thanks in advance!",ashamed first picture screenshot example kid friendly plus second rd picture dont even happen game quit scamming people playing game try advertising people game actually guarantee youll get player
i want to see more romance in the game,5,,want see romance game
it a great game i enjoying playing it,5,,great game enjoying playing
the app is good but im a kid,4,,app good im kid
very good and energetic game,5,,good energetic game
i enjoy this game relaxing,5,,enjoy game relaxing
this game is very interesting but it take time to download,2,Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!,game interesting take time download
the spens game nice,5,,spens game nice
the game is just a waist of time  loudly cry face  loudly cry face ,1,"Hello. We are sorry that you did not like something in the game, we will continue to work on it and hope that you will change your opinion about it!
",game waist time  loudly cry face  loudly cry face 
i love this game so much i am so excited about the game,5,,love game much excited game
simple but good push for money but you dont have to spend if you dont want to i set my limit at about £ over a period of time and that work for me and give me hour of entertainment,5,"Hello! We're glad to hear that you enjoying the game! Let us know, if there will be some troubles or questions! We're always happy to help!",simple good push money dont spend dont want set limit £ period time work give hour entertainment
hello i want to tell this that this game wa so good and amazing but the problem is the puzzle game the level become harder and harder you can add something else for gift and coin i dont think puzzle game is good at least the level shouldnt be that hard,1,"Hello! Sorry that you didn't enjoy the difficulty of our game. We've tried to make it as accessible as we could! We will take your feedback into account and will try to make the game better in future!
",hello want tell game wa good amazing problem puzzle game level become harder harder add something else gift coin dont think puzzle game good least level shouldnt hard
love it love the reaction of the animation,5,,love love reaction animation
pretty good great time killer challenging,5,,pretty good great time killer challenging
i love the renovation cleaning and the  bickering,5,,love renovation cleaning  bickering
it is very fun to play i am enjoying it hopefully more people can get this app,5,,fun play enjoying hopefully people get app
well this game look great but just need to check it out and down load it but it is taking too much of my time to down load itit need to down load a fast a possible cause i am nervous about this gamei love the look,5,,well game look great need check load taking much time load itit need load fast possible cause nervous gamei love look
love it  face blowing a kiss  face blowing a kiss  face blowing a kiss ,5,,love  face blowing kiss  face blowing kiss  face blowing kiss 
wow this game bast,5,,wow game bast
i love the story behind the game and new character,5,,love story behind game new character
fine but i had expected much better you get key one at a time and when you do you have to spend it on silly stuff that ha nothing to do with the decoration the level too keep getting harder and harder all the time,4,,fine expected much better get key one time spend silly stuff ha nothing decoration level keep getting harder harder time
i want to give this game  star because i am really enjoying it the story is fun i love the character villans most of the challenging level but i really wish you would offer more move in the puzzle  move to collect  donut plus fill  board square with chocolate that is not okay i love challenging game dont mind playing a level  or  time here and there but i shouldnt have to replay every single level  or  time to beat it,3,Hello.Thank you for your feedback. It is really important for us and we will take notes to upgrade our project. Our game is still in development so we are searching for best gamer experience. Stay tuned for more updates.,want give game  star really enjoying story fun love character villans challenging level really wish would offer move puzzle  move collect  donut plus fill  board square chocolate okay love challenging game dont mind playing level   time shouldnt replay every single level   time beat
it turn off whenever i the game finish loading,1,"Hello! According to information about your phone, it has low technical characteristics for good game performance, and because of this, the game sometimes work incorrectly. You can try to clean the tray and close every app that are active at the moment on your device. But we are still work on optimizing game for the best convenience of our users!",turn whenever game finish loading
so cool like home scape,5,,cool like home scape
only a  right now havent been playing long will see how it go,4,, right havent playing long see go
fun and challenging are doable,5,,fun challenging doable
ive seen the comment so i give it one star,1,"Hello. We are sorry that you did not like something in the game, we will continue to work on it and hope that you will change your opinion about it!",ive seen comment give one star
i love it it challenging but i like the story iylt keep me going,5,,love challenging like story iylt keep going
the game is nice but some level are diffecalte to play  loudly cry face  loudly cry face  pleading face ,3,Hello.Thank you for your feedback. It is really important for us and we will take notes to upgrade our project. Our game is still in development so we are searching for best gamer experience. Stay tuned for more updates.,game nice level diffecalte play  loudly cry face  loudly cry face  pleading face 
im addicted to this game amazing,5,,im addicted game amazing
wow very nice game,5,,wow nice game
it a best game  video game  video game  of mind n  brain  brain ,5,,best game  video game  video game  mind n  brain  brain 
now the problem is there are no ad life showing solve all these problem,5,Hi! We're so sorry. Please write to our Support team. Button in the game settings. Thank you!,problem ad life showing solve problem
fainliy i finish the game please send to new update and unlock the room ok by by family hotel game,5,,fainliy finish game please send new update unlock room ok family hotel game
i love this game but do you think this guy,5,,love game think guy
because l like this game so much,5,,l like game much
i am so enjoying this game for entertainment,5,,enjoying game entertainment
nice game and storyline i love it  red heart  red heart  red heart ,5,,nice game storyline love  red heart  red heart  red heart 
it is nice and it help in my inteiral degine interview in which i select,5,,nice help inteiral degine interview select
the game is really amazing,5,,game really amazing
this is so romantic i am falling in love,1,"Hello! Thank you for your review! If you like our game, could you please give us more than one star?
",romantic falling love
early in but so far  smiling face with sunglass  beer mug ,4,,early far  smiling face sunglass  beer mug 
just recently started but i enjoy it so far,5,,recently started enjoy far
it great and fun but im stuck in a level and there is no way for me to just pas that level ill wait one day to see what will i receive if i dont have anything new to help me i have to uninstall the game beside i like that,2,"Hello! Sorry that you didn't enjoy the difficulty of our game. We've tried to make it as accessible as we could! We will take your feedback into account and will try to make the game better in future!
",great fun im stuck level way pas level ill wait one day see receive dont anything new help uninstall game beside like
mostly good game it can be played free if you dont mind a big slow down in progress too many commercial though after each puzzle a well a other random place it would be much better if there were slightly fewer place they pop up i gave  star instead of  to get a free sign upgrade for the hotel,5,,mostly good game played free dont mind big slow progress many commercial though puzzle well random place would much better slightly fewer place pop gave  star instead  get free sign upgrade hotel
just started playing the game pretty good so far i like the game,5,,started playing game pretty good far like game
i am happy for this game  beaming face with smiling eye ,5,,happy game  beaming face smiling eye 
nice game to be played for hour,5,,nice game played hour
great game and story,5,,great game story
great game so far,5,,great game far
cute game but very time consuming take forever to earn star content is limited for people that dont want to spend money,4,,cute game time consuming take forever earn star content limited people dont want spend money
downloading it is too poor i mean extra poor bad  pouting face  angry face  pouting face  pouting face  pouting face ,1,"Hello! According to information about your phone, it has low technical characteristics for good game performance, and because of this, the game sometimes work incorrectly. You can try to clean the tray and close every app that are active at the moment on your device. But we are still work on optimizing game for the best convenience of our users!",downloading poor mean extra poor bad  pouting face  angry face  pouting face  pouting face  pouting face 
i love this abosoulutly live this,5,,love abosoulutly live
this game is lot of and im just starting to play,5,,game lot im starting play
