developer_response,review_description,rating,review_description_after_removing_stop_words
"Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!
",the game is really nicebut i dont like the idea of having alot of key for just one task,3,game really nicebut dont like idea alot key one task
"Hello. We are sorry that you did not like something in the game, we will continue to work on it and hope that you will change your opinion about it!",you need a lot of booster really on so youre gon na spend a lot of money,1,need lot booster really youre gon na spend lot money
,please change the front cover of the game it seems to corrupted but isnt the picture of the lady in a pantie kissing the guy if you do that ill give you five beautiful star and tell my friend to download aswell,4,please change front cover game seems corrupted isnt picture lady pantie kissing guy ill give five beautiful star tell friend download aswell
Hello! We are sorry to hear that you have encountered this disease! We wish you good health!,enjoying it at the minute i will see how it go in the next few day a i progress on the level i dont normally play game like this i just thought i try something different besides bubble game plus it help stimulate my brain also so i will come on and off the game a i cant stay on game for long a im epileptic and it could cause me to start fitting but i will play it every so often,1,enjoying minute see go next day progress level dont normally play game like thought try something different besides bubble game plus help stimulate brain also come game cant stay game long im epileptic could cause start fitting play every often
,this is a relaxingstress freefunand enjoyable gameit give you lot of bonusesgreat game to play  slightly smiling face ,5,relaxingstress freefunand enjoyable gameit give lot bonusesgreat game play  slightly smiling face 
,this game is so astonishing and fantastic but try updating it to the third level and im finding it difficult,5,game astonishing fantastic try updating third level im finding difficult
,im connected to the internet but i cant use i online part of the game what is the reason,4,im connected internet cant use online part game reason
Thank you for your feedback! We are glad that you liked the game and will make it even more exciting in the next updates. Stay tuned!,beautiful game love it,5,beautiful game love
"Hello.Thank you for your review. We are still working to make this game better and enjoyable for you. Stay with us!
",easy to play and a challenge to decorate the hotel,5,easy play challenge decorate hotel
,good game to play,5,good game play
,the game is great and addictive the only thing is you have to pay for the nicer thing,5,game great addictive thing pay nicer thing
,fun game i like to be able to design room how i like and not have the game to it help with passing time,5,fun game like able design room like game help passing time
,it an ok game given i play match all the time i will be forever to repair the hotel it should be other challenge to win more than one star at least,4,ok game given play match time forever repair hotel challenge win one star least
,great game to play for passing time or relaxing,5,great game play passing time relaxing
"Hello! Sorry that our game didn't match your expectations. Maybe if you give it one more chance, the game will interest you with plot twists. And this will make you change your opinion about the game!
",i wish developer would use multiple ad for free booster to go up in level one daily gift is not enough making income on ad is sufficient ppl are not going to spend money i cant proceed anymore but have to accumulate daily gift monthly to get to the next level not happy,2,wish developer would use multiple ad free booster go level one daily gift enough making income ad sufficient ppl going spend money cant proceed anymore accumulate daily gift monthly get next level happy
,happy sad family,5,happy sad family
"Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!
",the game is fun but a i get further into the game it becoming very slow and glitchy i have to reopen the game from scratch after every win this get especially annoying when youve received  minute of free life or booster and waste that time opening the game  time,1,game fun get game becoming slow glitchy reopen game scratch every win get especially annoying youve received  minute free life booster waste time opening game  time
,i love disits amazingm short on word,5,love disits amazingm short word
,i have played several of this type of game some make you wonder if you have played it same game different name this one is fun doesnt ask constantly for a purchase although obviously the option is always there and is different enough not to cause boredom or a sense déjà vu,5,played several type game make wonder played game different name one fun doesnt ask constantly purchase although obviously option always different enough cause boredom sense déjà vu
"Hello. We are sorry that you did not like something in the game, we will continue to work on it and hope that you will change your opinion about it!
",pls change picture it never suit on game,1,pls change picture never suit game
,i love  two heart  two heart  two heart  love letter ,5,love  two heart  two heart  two heart  love letter 
,fun game x,5,fun game x
,graphic are great choice are too keep up the great work,5,graphic great choice keep great work
,so far so good really enjoying,5,far good really enjoying
,so far the game isnt bad but it ha a ton of ad there should be an option to buy no more ad,4,far game isnt bad ha ton ad option buy ad
Hello! Sorry that you didn't enjoy the difficulty of our game. We've tried to make it as accessible as we could! We will take your feedback into account and will try to make the game better in future!,this game is so interesting but i feel like hacking this game how can i be getting one key each in every level i win and then use  key to renovate just one stuff is very annoying at least  to  key should be earn in every level  cry face ,3,game interesting feel like hacking game getting one key every level win use  key renovate one stuff annoying least   key earn every level  cry face 
Hello! Thank you for your feedback! We will send it to our developers!,like the game to many advertisement,2,like game many advertisement
,i like this very much just slow start,5,like much slow start
,fun game wish i could have kept my progress when switching phone,5,fun game wish could kept progress switching phone
,awsum graphic no glitch it pretty fast paced perfect renovation game,5,awsum graphic glitch pretty fast paced perfect renovation game
,fun game storyline is a little slow but still fun,4,fun game storyline little slow still fun
,good fun game,5,good fun game
,typical match  game good storyline first class graphic give it a try you might just like it,5,typical match  game good storyline first class graphic give try might like
,absolutely love this game xx,5,absolutely love game xx
"Hello. We are sorry that you did not like something in the game, we will continue to work on it and hope that you will change your opinion about it!
",doesnt match ad,1,doesnt match ad
,i like the game  grinning face with sweat ,5,like game  grinning face sweat 
,best game ever,5,best game ever
,very interesting game i like it very much,5,interesting game like much
"Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!
",i really like the game i am over  level but from yesterday i can open the game a soon a it done loading it kick me out the game is up to date and i have enought storragewhats going on,1,really like game  level yesterday open game soon done loading kick game date enought storragewhats going
,great game been playing for awhile now,5,great game playing awhile
,great  thumb up   ok hand ,5,great  thumb   ok hand 
"Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!
",pay wall hit too soon then it take so long playing for free while waiting for thing to happen the promo ad that attracted me in the first place is false advertising coz it nothing like the actual game unimpressed uninstalled  face with symbol on mouth  face with symbol on mouth  face with symbol on mouth  face with symbol on mouth  face with symbol on mouth  face with symbol on mouth  face with symbol on mouth ,1,pay wall hit soon take long playing free waiting thing happen promo ad attracted first place false advertising coz nothing like actual game unimpressed uninstalled  face symbol mouth  face symbol mouth  face symbol mouth  face symbol mouth  face symbol mouth  face symbol mouth  face symbol mouth 
,brilliant keep you on your toe very easy pleasant game,5,brilliant keep toe easy pleasant game
,wonderful game to play and add to my wishlist,5,wonderful game play add wishlist
,different lot of fun,5,different lot fun
"Hello. Thank you for your kind words! Your feedback really moves us forward! We are still working on making our game better and more enjoyable for you. Stay with us!
",it a very nice and interesting game i would recommend for anyone to download it keep you busy and help disappear thinking stress i love this game,5,nice interesting game would recommend anyone download keep busy help disappear thinking stress love game
,rating is for in game decor,5,rating game decor
Hello.Thank you for your feedback. It is really important for us and we will take notes to upgrade our project. Our game is still in development so we are searching for best gamer experience. Stay tuned for more updates.,this game is superb ilove it but some level are too hard that you just want to give up i think that it is better easier,4,game superb ilove level hard want give think better easier
"Hello. We are sorry that you did not like something in the game, we will continue to work on it and hope that you will change your opinion about it!",false advertising very sad,1,false advertising sad
,i love this gamethe level are difficult but interesting to playsuper  ok hand  light skin tone  ok hand  light skin tone  ok hand  light skin tone ,5,love gamethe level difficult interesting playsuper  ok hand  light skin tone  ok hand  light skin tone  ok hand  light skin tone 
,fun game but just started,5,fun game started
,im very inlove to this game,5,im inlove game
,it the best and ha life lesson,4,best ha life lesson
Hello! Yes you can play this game in offline mode!,i want an offline game ohope it is,1,want offline game ohope
,restarted yesterday lot to keep you busy and storyline to keep you interested,5,restarted yesterday lot keep busy storyline keep interested
,cannt stop want to know how it end and match is hook mak you wanting win,5,cannt stop want know end match hook mak wanting win
,nice game  ok hand  ok hand  ok hand ,5,nice game  ok hand  ok hand  ok hand 
,the game is awesome and it teach partnership among two people,5,game awesome teach partnership among two people
Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!,to many add and wouldnt let me get out of them so i uninstalled the game,1,many add wouldnt let get uninstalled game
,it an really great game,5,really great game
,great game for all age,5,great game age
Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!,what is wrong with the developer of this app so you actually want me to updateupgrade your new version like it compulsory i decide when to updateupgrade because it my data not yours i remembered updating this app a at december  and here we are in january  like you subscribe for me if you dont want me to use this app again then so be it i will gladly uninstall why would you shut the app each time i want to play a game covering it with upgrade to a new version  pouting face  pouting face  pouting face ,1,wrong developer app actually want updateupgrade new version like compulsory decide updateupgrade data remembered updating app december  january  like subscribe dont want use app gladly uninstall would shut app time want play game covering upgrade new version  pouting face  pouting face  pouting face 
Hello! Sorry that you didn't enjoy the difficulty of our game. We've tried to make it as accessible as we could! We will take your feedback into account and will try to make the game better in future!,well i got a good time playing it the problem is it needed so much key just for that simple task when it so hard to earn key,3,well got good time playing problem needed much key simple task hard earn key
,awesome game for timepass,5,awesome game timepass
,really enjoy this game,5,really enjoy game
Hello.Thank you for your review. We are still working to make this game better and enjoyable for you. Stay with us!,absolutely love this game and it very it awesome to playno hic ups yet and hope it stay that way i get so annoyed  expressionless face  when that happens  expressionless face  and i delete the game but so far it worth  gold star,5,absolutely love game awesome playno hic ups yet hope stay way get annoyed  expressionless face  happens  expressionless face  delete game far worth  gold star
,it so good you get your very own hotel,5,good get hotel
,i love the it very good keep it up nice game,5,love good keep nice game
,good story line,5,good story line
,i like this app install it in your android it very good app i like,5,like app install android good app like
"Hello! According to information about your phone, it has low technical characteristics and because of this, the game sometimes works incorrectly. You can try to clean the tray and close every app on your device. But we are still working on optimizing the game for the best convenience of our users!",it keep coming out of the game pls fix,1,keep coming game pls fix
,i love this gameive only be playing for  month and ive got so far thank you so much for this magical game,5,love gameive playing  month ive got far thank much magical game
,ok i havent played this gamebut i wa just wondering why is it rated everyone dont you think it should be more like teen i mean you dont want little kid playing this right,4,ok havent played gamebut wa wondering rated everyone dont think like teen mean dont want little kid playing right
Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!, stuck i dont play i do reinstal but this game not to run please fix and i change to  start,2, stuck dont play reinstal game run please fix change  start
,fun great graphic play better now fun story line  thumb up  although better updated choice would be great need better style choice,5,fun great graphic play better fun story line  thumb  although better updated choice would great need better style choice
,this game is amazing but it is very hard i cant even imagine when am i going to finish up renovating the hotel,4,game amazing hard cant even imagine going finish renovating hotel
Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!,after short while asking for point,1,short asking point
,very nice  ok hand  ok hand  ok hand  ok hand ,5,nice  ok hand  ok hand  ok hand  ok hand 
Hello! Sorry that you didn't enjoy the difficulty of our game. We've tried to make it as accessible as we could! We will take your feedback into account and will try to make the game better in future!,became harder on level i could not keep it up with it so i deleted itbut it a very good game and i loved it,2,became harder level i could keep deleted itbut good game loved
,this is so beautyfull game  hugging face  hugging face  hugging face  hugging face  hugging face  hugging face  hugging face ,5,beautyfull game  hugging face  hugging face  hugging face  hugging face  hugging face  hugging face  hugging face 
"Hello! We already working on the new picture! Thank you for your interest! Meanwhile, if you like other aspects of the game, maybe you can change your rating to five stars please? Thanks in advance!",installed a while ago and i dont even have a chance to play it because of your game icon my guardian scolded me for playing this game because of it and it just a match game and renovation with storyline im not saying that im a kid but i know that my guardian is right even my friend disgusted with it please change the game icon into an appropriate one and dont false advertising the game thats all  star from me,1,installed ago dont even chance play game icon guardian scolded playing game match game renovation storyline im saying im kid know guardian right even friend disgusted please change game icon appropriate one dont false advertising game thats  star
,love this game challenging game is the best i like that,5,love game challenging game best like
,great game very interested,5,great game interested
,really fun and is offline,5,really fun offline
"Hello! According to information about your phone, it has low technical characteristics for good game performance, and because of this, the game sometimes work incorrectly. You can try to clean the tray and close every app that are active at the moment on your device. But we are still work on optimizing game for the best convenience of our users!",why is the game always shutting down and why is it hanging my phone plz fix it,1,game always shutting hanging phone plz fix
,i love this game i can relax,5,love game relax
,i kinda like this game app  smiling face with heart ,5,kinda like game app  smiling face heart 
"Hello! According to information about your phone, it has low technical characteristics for good game performance, and because of this, the game sometimes work incorrectly. You can try to clean the tray and close every app that are active at the moment on your device. But we are still work on optimizing game for the best convenience of our users!",i could not play the game it is angin,1,could play game angin
,best app this type,5,best app type
Hello.Thank you for your review. We are still working to make this game better and enjoyable for you. Stay with us!,this is one of my favorite match  game the story is addictive and the choice of design is perfect i can actually see myself bookbinding a room here lol,5,one favorite match  game story addictive choice design perfect actually see bookbinding room lol
,i cant update my game what should i do,5,cant update game
,nice game relaxing for a match game,5,nice game relaxing match game
,the right way to pas the time but some of the level take so many life to pas,5,right way pas time level take many life pas
,best game but on level  hard level come quickly hard level came,4,best game level  hard level come quickly hard level came
Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!,not at all like the add mainly matching,1,like add mainly matching
,nice game should give more reward tho,4,nice game give reward tho
,great game my kid love it,5,great game kid love
,so far i love  heart with arrow  it hopefully it will stay that way  folded hand ,5,far love  heart arrow  hopefully stay way  folded hand 
,yah this an relaxing game i love this game  red heart  red heart  red heart ,5,yah relaxing game love game  red heart  red heart  red heart 
,i like this game ha something to do so that you dont get bored well done,5,like game ha something dont get bored well done
,very interesting and sweet game,5,interesting sweet game
"Hello! Sorry that you didn't enjoy the difficulty of our game. We've tried to make it as accessible as we could! We will take your feedback into account and will try to make the game better in future!
",i cant tell you how bad this game is ridiculous for how much  extra move cost level are nearly impossible to pas dont provide enough move to complete level the cost to upgrade and add furniture is ridiculous  key for a little piece ridiculous im done playing,1,cant tell bad game ridiculous much  extra move cost level nearly impossible pas dont provide enough move complete level cost upgrade add furniture ridiculous  key little piece ridiculous im done playing
,so far this game is a lot of fun,5,far game lot fun
"Hello! According to information about your phone, it has low technical characteristics for good game performance, and because of this, the game sometimes work incorrectly. You can try to clean the tray and close every app that are active at the moment on your device. But we are still work on optimizing game for the best convenience of our users!",hi am stephanie and wanted to tell u i love this game so bad buh anytime i open the game and start to do something then it just quit by itself i dont think it my space coz i have enough pls help repair the game am pleading with you  hugging face  hugging face ,2,hi stephanie wanted tell u love game bad buh anytime open game start something quit dont think space coz enough pls help repair game pleading  hugging face  hugging face 
,the story line is awesome i love the fact that you can choose what to say great job,5,story line awesome love fact choose say great job
,really fun game so far hope it stay that way so many game are disappointing when you get to certain level they start cheating or freezing up to inhibit your progress hopefully this one wont be like that,5,really fun game far hope stay way many game disappointing get certain level start cheating freezing inhibit progress hopefully one wont like
,it is interesting and a nice game,5,interesting nice game
,good match  gameplay and the remodeling choice are attractive with several good option frequently im really liking this one,5,good match  gameplay remodeling choice attractive several good option frequently im really liking one
,this game need to be more interesting  loudly cry face  red heart ,5,game need interesting  loudly cry face  red heart 
,love it too much  smiling face with heart  smiling face with heart ,5,love much  smiling face heart  smiling face heart 
"Hello! According to information about your phone, it has low technical characteristics for good game performance, and because of this, the game sometimes work incorrectly. You can try to clean the tray and close every app that are active at the moment on your device. But we are still work on optimizing game for the best convenience of our users!",ur game is bad am stocked at level hundred and doing the task data is required,1,ur game bad stocked level hundred task data required
,extremely lot of fun,5,extremely lot fun
,i rwmeally love dis gamei realy do but d level were becoming too dificult to playill advice anyone and everone to download this gamedtory line is perfectcharacters are very perfecttho i deleted d game because it wa too difficult for me  woozy face ,5,rwmeally love dis gamei realy level becoming dificult playill advice anyone everone download gamedtory line perfectcharacters perfecttho deleted game wa difficult  woozy face 
,yes that is good  thumb up  smiling face with heart ,5,yes good  thumb  smiling face heart 
,the game is simply amazing i have never given my attention to game but this game got me,4,game simply amazing never given attention game game got
,i give you  star  star  star  star  star  star  love this game,5,give  star  star  star  star  star  star  love game
,𝘐𝘵𝘴 𝘴𝘰 𝘢𝘮𝘢𝘻𝘪𝘯𝘨  smiling face with heart ,5,𝘐𝘵𝘴 𝘴𝘰 𝘢𝘮𝘢𝘻𝘪𝘯𝘨  smiling face heart 
,love this game keep you busy also it will have you using your imagination,5,love game keep busy also using imagination
,best game for timepass i play this game in free time best  hundred point  hundred point ,5,best game timepass play game free time best  hundred point  hundred point 
,really fun game  video game ,5,really fun game  video game 
,very good game im so excited of this game,5,good game im excited game
,i love playing this game i recommend this game to everyone,5,love playing game recommend game everyone
,i just started so far so good,4,started far good
,jhggbnvhnkk and follow up with you on the phone with my mom and follow me on instagram and i will be there at like and follow me on instagram and i will be there at like and follow me on instagram is like a box for you and your family have a great day,5,jhggbnvhnkk follow phone mom follow instagram like follow instagram like follow instagram like box family great day
,so far i enjoy playing this game  smiling face with smiling eye  smiling face with smiling eye  smiling face with smiling eye  red heart ,5,far enjoy playing game  smiling face smiling eye  smiling face smiling eye  smiling face smiling eye  red heart 
,love  two heart  it but the upgrade is to much,5,love  two heart  upgrade much
"Hello! If you have some troubles with the game, you can always contact with our support team about this by clicking Settings -> Help or via support@playflock.com! We will be happy to help you!",why didnt you let it start back is just stop level  please let it continues,3,didnt let start back stop level  please let continues
Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!,game doesnt load,1,game doesnt load
,it a very amazing game but some stage are very difficult but it interesting,5,amazing game stage difficult interesting
,challenging and fun game with variety of play,5,challenging fun game variety play
,it actually pretty fun it like i am in my own story and the drama keep coming in surprise i almost cried when i thought max wa a cheat,5,actually pretty fun like story drama keep coming surprise almost cried thought max wa cheat
,i really love this gameit super cool and nice to play the puzzle sometimes seems to be annoyed but apart from that it is cool and nice to playi recommend this game to everyone to install and play  thumb up ,5,really love gameit super cool nice play puzzle sometimes seems annoyed apart cool nice playi recommend game everyone install play  thumb 
,awesome love this game love it,5,awesome love game love
,cute game i like that you can customize the outfit,5,cute game like customize outfit
,i started playing the game last week well what can i sayits addictivefunnice quest a you progress the levelsreasonable price should you ever need to buy in the game love it definitely worth playing the game would definitely recommend playing the game,5,started playing game last week well sayits addictivefunnice quest progress levelsreasonable price ever need buy game love definitely worth playing game would definitely recommend playing game
,pretty fun i cant stop playing ot,5,pretty fun cant stop playing ot
Hello! Thank you for the review! Have a good game!,emma cool doesnt mean awesome,5,emma cool doesnt mean awesome
,keep you wanting to complete each task,5,keep wanting complete task
,this game is addictive an fun,5,game addictive fun
Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!,my game will not let me update i wa doing really good and liking this game now it doing the same thing a homescapes,1,game let update wa really good liking game thing homescapes
Hello! Thank you for your feedback! We will send it to our developers!,no one kiss anyone in this game,1,one kiss anyone game
,i like this game so much  slightly smiling face ,5,like game much  slightly smiling face 
,love  red heart  it,5,love  red heart 
"Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!
",the game is currently  m of play to  m of ad or push to buy stuff really bad,2,game currently  play  ad push buy stuff really bad
,the best life story game l have downloaded,5,best life story game l downloaded
,love this game it fun i love it,5,love game fun love
,very good game  thumb up ,5,good game  thumb 
,this game is interesting but now i dont understand anymore because the level i am is so difficult am now tired of this game,4,game interesting dont understand anymore level difficult tired game
,i love this game and it getting more and more better,5,love game getting better
,pretty fun ha a good story line,4,pretty fun ha good story line
,very interesting game with a nice story line,4,interesting game nice story line
"Hello! If you have some troubles with the game, you can always contact with our support team about this by clicking Settings -> Help or via support@playflock.com! We will be happy to help you!
",game ha been freezing after this last update not fun to have to restart after ever level,3,game ha freezing last update fun restart ever level
,so far it fun story line is cute,5,far fun story line cute
,this is a very good game i wish u can add this to your app,5,good game wish u add app
Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!,it nice game but im disappointed in getting key when it tooks you a many day to win a game but not enough because in spending the key needed  key like looking for the guest baggage needed total six key spending one key is enough,2,nice game im disappointed getting key tooks many day win game enough spending key needed  key like looking guest baggage needed total six key spending one key enough
,super but level are hard now i am in  level no special  face with raised eyebrow  face with raised eyebrow  face with raised eyebrow ,5,super level hard  level special  face raised eyebrow  face raised eyebrow  face raised eyebrow 
,great game  red heart ,5,great game  red heart 
,this game is nice buh it slow when downloading,4,game nice buh slow downloading
,fun game a must download,5,fun game must download
,intresting is just that u solve pussle,4,intresting u solve pussle
,loving this app not liking how it is glitching though but nonetheless i give it  star,5,loving app liking glitching though nonetheless give  star
"Hello! Thank you for your feedback! We will send it to our developers! If you have some troubles with the game, you can always contact with our support team about this by clicking Settings -> Help or via support@playflock.com! We will be happy to help you!",is anyone getting the bonus game that come every  day that allows you to win booster life ect for beating certain of level they longer come up reinstalling doe now work honestly those bonus game brings the game from  to  star it been wks oh for the ppl losing level when reinstalling this is not developer fault before reinstalling accept facebook gift giving you  point but also register you in game so if ever needed to reinstall youll never lose your level,3,anyone getting bonus game come every  day allows win booster life ect beating certain level longer come reinstalling doe work honestly bonus game brings game   star wks oh ppl losing level reinstalling developer fault reinstalling accept facebook gift giving  point also register game ever needed reinstall youll never lose level
,fun game i like the design,5,fun game like design
,nice game please download it because you will enjoy it,5,nice game please download enjoy
,best game for the mind blowin  face blowing a kiss ,4,best game mind blowin  face blowing kiss 
Hello! Sorry that you didn't enjoy the difficulty of our game. We've tried to make it as accessible as we could! We will take your feedback into account and will try to make the game better in future!,i have complete  level now i am just feedup about game harder level without purchase no one can enjoy this game game graphic and concept is good but you may focused on player experienced if you only want to sell coin you may wrong you may increase video ad for get coin for player by the way i am really disappointed about this game,1,complete  level feedup game harder level without purchase one enjoy game game graphic concept good may focused player experienced want sell coin may wrong may increase video ad get coin player way really disappointed game
,i think the game is great i played just a few day and it great,5,think game great played day great
,love the game alot,4,love game alot
Hello! Do you have some troubles with the game? Let us know about it! We will be happy to help!,it nice but hoping it offline,3,nice hoping offline
,i love this game but the ad are too much,5,love game ad much
"Hello! Thank you for your review! If you like our game, could you please give us more than one star?
",the best way to get the following,1,best way get following
,fun n exciting,5,fun n exciting
,the game is good and very easy charrr,5,game good easy charrr
Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!,i dont know what going with this game but every time i redownload it and i try check in to facebook and it say select my level it show level  which im not on that level im on  i would like have that level back please cause im not restart back over again after everything i did,1,dont know going game every time redownload try check facebook say select level show level  im level im  would like level back please cause im restart back everything
"Hello! Sorry that our game didn't match your expectations. Maybe if you give it one more chance, the game will interest you with plot twists. And this will make you change your opinion about the game!",the game is terrible and not anything like it wa described on play store there are a lot of ad and the last update ha made the app hard to navigate and not very fun,2,game terrible anything like wa described play store lot ad last update ha made app hard navigate fun
,it fun and we are going to be addicted,5,fun going addicted
Hello! Sorry to hear that you faced with such problem! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!,i have beaten level  numerous of time and it still not advancing me in november in paris and i will delete the game and i will see what i can do about getting my money back for the money i have spent this is ridiculous do not play this game i suggest not downloading this game playflock is a joke,1,beaten level  numerous time still advancing november paris delete game see getting money back money spent ridiculous play game suggest downloading game playflock joke
"Hello! We're glad that you like our game! But you gave us only three stars, not five. Could you please correct the rating to five stars? Thanks in advance!",i love this game the best game in the game world but while playing dis game it off like it stop playing plz help me for ur two star,3,love game best game game world playing dis game like stop playing plz help ur two star
,i injoy this game thank u so much family hotel,5,injoy game thank u much family hotel
,great job on the best game of the world  globe showing europeafrica ,5,great job best game world  globe showing europeafrica 
"Hello! If you have some troubles with the game, you can always contact with our support team about this by clicking Settings -> Help or via support@playflock.com! We will be happy to help you!",after update the family hotel app my game is not start properly loading is stop at  and not grown more up  angry face ,3,update family hotel app game start properly loading stop  grown  angry face 
,why gold card not working,5,gold card working
,the game is fun to play but the problem is it harder level  downcast face with sweat  it very hard to play  slightly smiling face  if you fix this problem itll be very interesting to play  smiling face with smiling eye  love this game,4,game fun play problem harder level  downcast face sweat  hard play  slightly smiling face  fix problem itll interesting play  smiling face smiling eye  love game
,fun game love the decorating,5,fun game love decorating
,early stage yet will update ler  alien ,5,early stage yet update ler  alien 
,i am enjoy this game i am pas out levele ,5,enjoy game pas levele 
,love the game in the graphic enjoy playing it great game,5,love game graphic enjoy playing great game
,it amazing game  bullseye  bullseye  bullseye  bullseye ,5,amazing game  bullseye  bullseye  bullseye  bullseye 
,love the game no issue a of yet,5,love game issue yet
,this is a fun game to play and very relaxing,5,fun game play relaxing
Hello.Thank you for your feedback. It is really important for us and we will take notes to upgrade our project. Our game is still in development so we are searching for best gamer experience. Stay tuned for more updates!,i got very addicted to this game decent graphic cool animation got ta give that but it would be more enjoyable if you pas a certain level for example like after every  level it got ta be with extra reward money maybe two key and it would very time consuming if it had chest system you win a level you get a chesto to open it take mins for example i would come back and give this  star if this game update it and put chest system  hundred point  hundred point  hundred point  keep it up dont fail u ,4,got addicted game decent graphic cool animation got ta give would enjoyable pas certain level example like every  level got ta extra reward money maybe two key would time consuming chest system win level get chesto open take mins example would come back give  star game update put chest system  hundred point  hundred point  hundred point  keep dont fail u 
,brilliant game happy christmas to all who work on family hotel,5,brilliant game happy christmas work family hotel
"Hello.Thank you for your review. We are still working to make this game better and enjoyable for you. Stay with us!
",happy birthday to you too baby,3,happy birthday baby
Hello. Thank you for your review and feedback. Could you please tell us on which level you face this problem?,it almost a same a the other game that most u play garden scape and i found some bug of the game which is some of the level when we complete but the tap to skip function can not activate i dont know why maybe is connection problem or this game got some coding uncomplete i i dont know what level but maybe because tap too fast cause the bug problem yeah some of the level random level not the event one but the climbing level that we casual play,4,almost game u play garden scape found bug game level complete tap skip function activate dont know maybe connection problem game got coding uncomplete dont know level maybe tap fast cause bug problem yeah level random level event one climbing level casual play
,intresting game whenever i feel bored  sleeping face  i love to play this game  video game  this game make me feel happy  smiling face with smiling eye ,5,intresting game whenever feel bored  sleeping face  love play game  video game  game make feel happy  smiling face smiling eye 
,thing move very slowly,4,thing move slowly
,this is my stress reliever after a whole day of stress,5,stress reliever whole day stress
,it must download faster,5,must download faster
,the game is very interesting and the mini game is challenging which make you want to continue,5,game interesting mini game challenging make want continue
,love it  smiling face with smiling eye ,5,love  smiling face smiling eye 
"Hello! Thank you for your review! If you like our game, could you please give us more stars?
",it amazing  two heart  smiling face with hearteyes  game,3,amazing  two heart  smiling face hearteyes  game
"Hello! We're glad that you like our game! But you gave us only two stars, not five. Could you please correct the rating to five stars? Thanks in advance!",nice game l like it,5,nice game l like
,anti stress game  beating heart  smiling face with heart ,5,anti stress game  beating heart  smiling face heart 
,it really nice i must say the story line is gr,5,really nice must say story line gr
,sometimes the adventure are come to the dramma,5,sometimes adventure come dramma
Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!,i installed it but it not working  cry face ,2,installed working  cry face 
,ìts an interesting game but the add keep freezing the game after each game it play a video add and it freeze the game and kick me out can uyou fix that issue please and thanks,4,ìts interesting game add keep freezing game game play video add freeze game kick uyou fix issue please thanks
Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!,is not downloading on my phone samsung galaxy a,1,downloading phone samsung galaxy a
,wow i love it  smiling face with hearteyes  smiling face with hearteyes  kissing face with closed eye  red heart ,5,wow love  smiling face hearteyes  smiling face hearteyes  kissing face closed eye  red heart 
"Hello! We're glad that you like our game! But you gave us only one star, not five. Could you please correct the rating to five stars? Thanks in advance!",gud it a good game,1,gud good game
"Hello! We're glad that you like our game! But you gave us only three stars, not five. Could you please correct the rating to five stars? Thanks in advance!",oh this game is wonderful and i am lucky to this game,3,oh game wonderful lucky game
,amazing love the storyline  clapping hand  clapping hand ,5,amazing love storyline  clapping hand  clapping hand 
"Hello! We're glad that you like our game! But you gave us only one star, not five. Could you please correct the rating to five stars? Thanks in advance!",i like this game but my friend baby always take the phone,1,like game friend baby always take phone
,i really love this game,5,really love game
,the story is engaging and it very addictive,5,story engaging addictive
,i love this game so much,5,love game much
,it okay so far but it doesnt look like the game advertised,4,okay far doesnt look like game advertised
